Bank_Txn_ID,Date,Vendor,Description,Amount,Check_ACH,Cleared_Flag,Match_Key,Duplicate_Payment,Duplicate_Payment_Flag,Invoice_Amount,no_matching_invoice,duplicate_payment,amount_mismatch,q90,unusual_vendor_payment,invoice_marked_paid_but_no_bank_txn,risk_score,risk_level
BTXN-00064,2025-09-15,Sunline Electrical,Payment for INV2025-0079,-13605.89,ACH,True,Sunline Electrical|-13605.89,1,OK,,True,False,True,-1511.6259999999995,False,False,100,Critical (85–99%)
BTXN-00069,2025-04-15,Sunline Electrical,Duplicate payment for INV2025-0085,-1150.42,ACH,True,Sunline Electrical|-1150.42,2,Duplicate Payment,1150.42,False,False,True,-1511.6259999999995,True,False,40,Medium (20–40%)
BTXN-00088,2025-10-11,Sunline Electrical,Payment for INV2025-0110,-12363.41,ACH,True,Sunline Electrical|-12363.41,1,OK,12363.41,False,False,True,-1511.6259999999995,False,False,30,Medium (20–40%)
BTXN-00198,2025-12-26,Sunline Electrical,Payment for INV2025-0257,-17111.4,ACH,True,Sunline Electrical|-17111.4,1,OK,17111.4,False,False,True,-1511.6259999999995,False,False,30,Medium (20–40%)
BTXN-00210,2025-04-11,Sunline Electrical,Payment for INV2025-0273,-2682.03,ACH,True,Sunline Electrical|-2682.03,1,OK,,True,False,True,-1511.6259999999995,False,False,100,Critical (85–99%)
BTXN-00223,2025-09-12,Sunline Electrical,Payment for INV2025-0289,-9726.69,ACH,True,Sunline Electrical|-9726.69,1,OK,9726.69,False,False,True,-1511.6259999999995,False,False,30,Medium (20–40%)
BTXN-00241,2025-03-26,Sunline Electrical,Payment for INV2025-0312,-9369.54,ACH,True,Sunline Electrical|-9369.54,1,OK,9369.54,False,False,True,-1511.6259999999995,False,False,30,Medium (20–40%)
BTXN-00274,2025-07-07,Sunline Electrical,Unmatched vendor payment,-2042.35,ACH,True,Sunline Electrical|-2042.35,1,OK,,True,False,True,-1511.6259999999995,False,False,100,Critical (85–99%)
BTXN-00277,2025-02-10,Sunline Electrical,Unmatched vendor payment,-3618.59,ACH,True,Sunline Electrical|-3618.59,1,OK,,True,False,True,-1511.6259999999995,False,False,100,Critical (85–99%)
BTXN-00282,2025-06-05,Sunline Electrical,Unmatched vendor payment,-3615.08,ACH,True,Sunline Electrical|-3615.08,1,OK,,True,False,True,-1511.6259999999995,False,False,100,Critical (85–99%)
BTXN-00033,2025-12-17,Sunshine Equipment,Payment for INV2025-0043,-13947.03,ACH,True,Sunshine Equipment|-13947.03,1,OK,,True,False,True,-2814.2339999999986,False,False,100,Critical (85–99%)
BTXN-00063,2025-09-21,Sunshine Equipment,Payment for INV2025-0078,-17183.98,ACH,True,Sunshine Equipment|-17183.98,1,OK,17183.98,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00095,2025-04-10,Sunshine Equipment,Payment for INV2025-0117,-22167.46,ACH,True,Sunshine Equipment|-22167.46,1,OK,22167.46,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00106,2025-02-08,Sunshine Equipment,Payment for INV2025-0133,-18618.15,ACH,True,Sunshine Equipment|-18618.15,1,OK,,True,False,True,-2814.2339999999986,False,False,100,Critical (85–99%)
BTXN-00110,2025-05-13,Sunshine Equipment,Payment for INV2025-0137,-13025.34,ACH,True,Sunshine Equipment|-13025.34,1,OK,13025.34,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00145,2025-07-29,Sunshine Equipment,Payment for INV2025-0185,-19858.17,ACH,True,Sunshine Equipment|-19858.17,1,OK,19858.17,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00146,2025-06-08,Sunshine Equipment,Payment for INV2025-0186,-3497.52,ACH,True,Sunshine Equipment|-3497.52,1,OK,3497.52,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00150,2025-04-14,Sunshine Equipment,Payment for INV2025-0192,-8700.46,ACH,True,Sunshine Equipment|-8700.46,1,OK,8700.46,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00154,2025-11-22,Sunshine Equipment,Payment for INV2025-0196,-9343.78,ACH,True,Sunshine Equipment|-9343.78,1,OK,,True,False,True,-2814.2339999999986,False,False,100,Critical (85–99%)
BTXN-00158,2025-05-13,Sunshine Equipment,Payment for INV2025-0200,-19340.31,ACH,True,Sunshine Equipment|-19340.31,1,OK,19340.31,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00183,2025-03-31,Sunshine Equipment,Payment for INV2025-0237,-10968.15,ACH,True,Sunshine Equipment|-10968.15,1,OK,10968.15,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00208,2025-03-07,Sunshine Equipment,Payment for INV2025-0271,-4657.63,ACH,True,Sunshine Equipment|-4657.63,1,OK,4657.63,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00219,2025-06-21,Sunshine Equipment,Payment for INV2025-0282,-4773.24,ACH,True,Sunshine Equipment|-4773.24,1,OK,4773.24,False,False,True,-2814.2339999999986,False,False,30,Medium (20–40%)
BTXN-00080,2025-04-08,Tampa Grid Services,Payment for INV2025-0099,-26523.12,ACH,True,Tampa Grid Services|-26523.12,1,OK,26523.12,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00157,2025-11-06,Tampa Grid Services,Payment for INV2025-0199,-3264.21,ACH,True,Tampa Grid Services|-3264.21,1,OK,3264.21,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00179,2025-06-16,Tampa Grid Services,Payment for INV2025-0231,-16166.21,ACH,True,Tampa Grid Services|-16166.21,1,OK,16166.21,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00195,2025-03-08,Tampa Grid Services,Payment for INV2025-0253,-2802.21,ACH,True,Tampa Grid Services|-2802.21,1,OK,2802.21,False,False,True,-3171.8100000000004,True,False,40,Medium (20–40%)
BTXN-00196,2025-06-25,Tampa Grid Services,Payment for INV2025-0256,-13072.2,ACH,True,Tampa Grid Services|-13072.2,2,Duplicate Payment,13072.2,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00197,2025-06-26,Tampa Grid Services,Duplicate payment for INV2025-0256,-13072.2,ACH,True,Tampa Grid Services|-13072.2,2,Duplicate Payment,13072.2,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00199,2025-11-21,Tampa Grid Services,Payment for INV2025-0258,-23076.14,ACH,True,Tampa Grid Services|-23076.14,1,OK,,True,False,True,-3171.8100000000004,False,False,100,Critical (85–99%)
BTXN-00217,2025-07-19,Tampa Grid Services,Payment for INV2025-0280,-25777.29,ACH,True,Tampa Grid Services|-25777.29,1,OK,25777.29,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00242,2025-07-20,Tampa Grid Services,Payment for INV2025-0313,-16713.45,ACH,True,Tampa Grid Services|-16713.45,1,OK,16713.45,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00265,2025-12-09,Tampa Grid Services,Payment for INV2025-0337,-13092.47,ACH,True,Tampa Grid Services|-13092.47,1,OK,13092.47,False,False,True,-3171.8100000000004,False,False,30,Medium (20–40%)
BTXN-00025,2025-05-15,Tidal Contractors,Payment for INV2025-0034,-1394.87,ACH,True,Tidal Contractors|-1394.87,2,Duplicate Payment,1394.87,False,False,True,-4921.664999999997,True,False,40,Medium (20–40%)
BTXN-00035,2025-05-22,Tidal Contractors,Payment for INV2025-0047,-24203.17,ACH,True,Tidal Contractors|-24203.17,1,OK,,True,False,True,-4921.664999999997,False,False,100,Critical (85–99%)
BTXN-00053,2025-06-20,Tidal Contractors,Payment for INV2025-0066,-23198.4,ACH,True,Tidal Contractors|-23198.4,1,OK,23198.4,False,False,True,-4921.664999999997,False,False,30,Medium (20–40%)
BTXN-00109,2025-07-01,Tidal Contractors,Payment for INV2025-0136,-5888.49,ACH,True,Tidal Contractors|-5888.49,1,OK,,True,False,True,-4921.664999999997,False,False,100,Critical (85–99%)
BTXN-00111,2025-11-05,Tidal Contractors,Payment for INV2025-0140,-13174.91,ACH,True,Tidal Contractors|-13174.91,1,OK,13174.91,False,False,True,-4921.664999999997,False,False,30,Medium (20–40%)
